timestamp,ch1
1776074184.24,-3763.8326005736117
1776074184.244,-3780.819926359645
1776074184.248,-3799.7518539132902
1776074184.252,-3822.9306129134434
1776074184.256,-3831.4466275509153
1776074184.26,-3829.256156594295
1776074184.264,-3829.3455635721166
1776074184.2680001,-3836.743990986823
1776074184.272,-3830.6643164949796
1776074184.276,-3824.562290258681
1776074184.28,-3823.2882408247283
1776074184.284,-3828.0268106492535
1776074184.288,-3835.5369967862366
1776074184.292,-3835.9393281864322
1776074184.296,-3839.6720695104686
1776074184.3,-3839.336793343639
1776074184.304,-3846.802275991711
1776074184.308,-3863.007290721809
1776074184.312,-3873.0655757266973
1776074184.316,-3887.236581711362
1776074184.32,-3883.8614682986104
1776074184.324,-3897.0489975272417
1776074184.3279998,-3903.799224352744
1776074184.332,-3907.844890099155
1776074184.336,-3895.685541115468
1776074184.34,-3880.396947908038
1776074184.3439999,-3874.943122260943
1776074184.348,-3869.3551861471165
1776074184.352,-3869.936331502954
1776074184.356,-3863.9013605000214
1776074184.36,-3851.6079010496023
1776074184.3639998,-3847.9198632144767
1776074184.368,-3846.556406802703
1776074184.372,-3844.4106393349934
1776074184.376,-3842.778961989756
1776074184.3799999,-3833.3241740851613
1776074184.3839998,-3822.0588948796867
1776074184.388,-3830.5078542837928
1776074184.392,-3839.42620032146
1776074184.396,-3848.9256917149655
1776074184.4,-3853.3513371171166
1776074184.404,-3844.790618990734
1776074184.408,-3837.5486537872143
1776074184.4120002,-3847.2940143697283
1776074184.4160001,-3844.812970735189
1776074184.42,-3841.974299189365
1776074184.424,-3848.8586364815997
1776074184.4280002,-3851.004403949309
1776074184.4320002,-3849.8421132376334
1776074184.436,-3847.875159725566
1776074184.44,-3848.0539736812084
1776074184.444,-3846.71286901389
1776074184.4480002,-3848.14338065903
1776074184.4520001,-3842.555444545203
1776074184.456,-3834.5758717746585
1776074184.46,-3827.6691827379686
1776074184.464,-3822.304764068695
1776074184.4680002,-3827.3562583155945
1776074184.4720001,-3835.9616799308874
1776074184.476,-3830.4184473059713
1776074184.48,-3838.398020076516
1776074184.484,-3844.209473634896
1776074184.488,-3843.5389213012368
1776074184.492,-3840.7673049887785
1776074184.496,-3839.716772999379
1776074184.5,-3835.3805345750493
1776074184.504,-3838.241557865329
1776074184.5080001,-3840.566139288681
1776074184.512,-3841.3931538335273
1776074184.516,-3835.2911275972283
1776074184.52,-3832.3406973291276
1776074184.524,-3825.0987321256084
1776074184.528,-3837.9956886763202
1776074184.532,-3826.529243770748
1776074184.536,-3816.6497727215024
1776074184.54,-3822.9306129134434
1776074184.544,-3816.716827954868
1776074184.548,-3825.7469327148124
1776074184.552,-3835.0899618971307
1776074184.556,-3830.0161159057757
1776074184.56,-3837.034563664742
1776074184.564,-3843.0024794343094
1776074184.5679998,-3843.9636044458875
1776074184.572,-3852.010232449798
1776074184.576,-3855.362994118094
1776074184.58,-3852.949005716921
1776074184.5839999,-3850.33385161565
1776074184.588,-3864.8624855115995
1776074184.592,-3870.6739390699795
1776074184.596,-3867.8352675241554
1776074184.6,-3867.7682122907895
1776074184.6039999,-3876.6642065840015
1776074184.608,-3879.972264763387
1776074184.612,-3861.397965121027
1776074184.616,-3838.688592754435
1776074184.62,-3821.097769868108
1776074184.6239998,-3816.6274209770468
1776074184.628,-3809.7654354292677
1776074184.632,-3805.6080109605805
1776074184.636,-3798.880135879533
1776074184.64,-3791.7052259093794
1776074184.644,-3789.693568908402
1776074184.648,-3793.336903254617
1776074184.6520002,-3792.107557309575
1776074184.6560001,-3793.403958487983
1776074184.66,-3799.595391702103
1776074184.664,-3803.7081126818794
1776074184.6680002,-3814.861633165078
1776074184.6720002,-3825.56811875917
1776074184.676,-3840.4767323108595
1776074184.68,-3845.170598646474
1776074184.684,-3843.874197468066
1776074184.6880002,-3852.6360812945463
