timestamp,ch1
1770732159.864,-33670.243164329906
1770732159.868,-33682.80484471379
1770732159.872,-33690.53854829533
1770732159.8760002,-33702.273214134366
1770732159.88,-33705.71538278048
1770732159.884,-33705.00012695791
1770732159.888,-33712.15268518361
1770732159.8920002,-33727.62009234668
1770732159.8960001,-33731.93397902656
1770732159.9,-33733.655063349615
1770732159.904,-33737.05252850682
1770732159.908,-33730.39170865914
1770732159.9120002,-33734.03504300535
1770732159.9160001,-33746.95435130052
1770732159.92,-33745.188563488555
1770732159.924,-33750.575333902285
1770732159.928,-33751.87173508069
1770732159.9320002,-33754.911572326615
1770732159.936,-33744.92034255509
1770732159.94,-33751.5141071694
1770732159.944,-33746.931999556065
1770732159.948,-33749.34598795724
1770732159.952,-33757.906706083624
1770732159.956,-33750.88825832466
1770732159.96,-33752.34112171425
1770732159.964,-33751.7152728695
1770732159.968,-33749.43539493506
1770732159.9720001,-33747.96017980101
1770732159.976,-33741.969912286986
1770732159.98,-33738.93007504107
1770732159.984,-33732.38101391566
1770732159.988,-33733.20802846051
1770732159.992,-33723.95440625601
1770732159.996,-33717.517103852886
1770732160.0,-33716.466571863486
1770732160.004,-33720.713403309994
1770732160.008,-33726.83778129075
1770732160.012,-33725.94371151253
1770732160.016,-33737.76778432939
1770732160.02,-33738.2148192185
1770732160.024,-33726.63661559065
1770732160.0279999,-33729.11765922519
1770732160.0319998,-33726.97189175748
1770732160.036,-33726.48015337946
1770732160.04,-33727.19540920203
1770732160.044,-33720.19931318752
1770732160.0479999,-33725.85430453471
1770732160.052,-33740.87467680868
1770732160.056,-33729.34117666974
1770732160.06,-33721.87569402167
1770732160.064,-33736.024348261875
1770732160.0679998,-33737.09723199573
1770732160.072,-33730.34700517023
1770732160.076,-33730.54817087033
1770732160.08,-33725.474324878975
1770732160.0839999,-33728.35769991371
1770732160.0879998,-33728.80473480281
1770732160.092,-33737.208990718005
1770732160.096,-33733.230380204965
1770732160.1,-33737.633673862656
1770732160.104,-33741.94756054253
1770732160.108,-33735.68907209505
1770732160.112,-33735.21968546149
1770732160.1160002,-33736.29256919534
1770732160.1200001,-33737.34310118474
1770732160.124,-33752.58699090326
1770732160.128,-33741.72404309798
1770732160.1320002,-33741.92520879808
1770732160.1360002,-33751.7152728695
1770732160.14,-33738.8630198077
1770732160.144,-33743.33336869876
1770732160.148,-33743.95921754351
1770732160.1520002,-33742.37224368718
1770732160.1560001,-33738.460688407504
1770732160.16,-33738.72890934097
1770732160.164,-33746.46261292251
1770732160.168,-33751.31294146931
1770732160.1720002,-33748.049586778834
1770732160.176,-33749.43539493506
1770732160.18,-33742.953389043025
1770732160.184,-33746.32850245578
1770732160.188,-33744.1156797547
1770732160.192,-33744.60741813271
1770732160.196,-33753.12343277019
1770732160.2,-33760.700674140535
1770732160.204,-33754.95627581552
1770732160.208,-33744.02627277688
1770732160.2120001,-33751.7152728695
1770732160.216,-33755.9174008271
1770732160.22,-33749.8153745908
1770732160.224,-33748.98836004596
1770732160.228,-33748.00488328992
1770732160.232,-33746.52966815587
1770732160.236,-33758.97958981748
1770732160.24,-33750.217705990995
1770732160.244,-33749.21187749051
1770732160.248,-33746.10498501122
1770732160.252,-33745.255618721916
1770732160.256,-33740.94173204205
1770732160.26,-33740.20412447502
1770732160.264,-33749.502450168424
1770732160.268,-33749.48009842397
1770732160.2719998,-33754.24101999295
1770732160.276,-33746.797889089336
1770732160.28,-33742.55105764283
1770732160.284,-33748.25075247893
1770732160.2879999,-33743.15455474312
1770732160.292,-33737.8124878183
1770732160.296,-33735.264388950396
1770732160.3,-33742.23813322045
1770732160.304,-33752.184659503066
1770732160.3079998,-33749.32363621279
1770732160.312,-33749.591857146246
1770732160.316,-33757.79494736135
1770732160.32,-33756.29738048284
1770732160.324,-33756.230325249475
1770732160.3279998,-33759.60543866223
1770732160.332,-33769.48490971147
1770732160.336,-33771.16129054562
1770732160.34,-33773.575278946795
1770732160.344,-33764.79104337586
1770732160.348,-33766.80270037684
1770732160.352,-33780.45961623903
1770732160.3560002,-33779.16321506062
1770732160.3600001,-33787.18749132007
1770732160.364,-33791.41197102213
1770732160.368,-33786.69575294206
1770732160.3720002,-33796.48581701348
1770732160.3760002,-33790.09321809927
1770732160.38,-33783.83472965178
1770732160.384,-33780.772540661404
1770732160.388,-33779.789063905366
