timestamp,ch1
1776074580.023,-3769.1523157539746
1776074580.027,-3771.208676243863
1776074580.031,-3757.954091781866
1776074580.035,0.0
1776074580.039,-4026.353839201193
1776074580.043,-4022.934022299531
1776074580.047,-4026.84557757921
1776074580.051,-4032.4335136930367
1776074580.055,-4027.1808537460392
1776074580.059,-4017.3013826967936
1776074580.063,-4030.2430427364166
1776074580.067,-4034.7580951163886
1776074580.071,-4030.712429369978
1776074580.075,-4023.4257606775477
1776074580.079,-4019.380094931137
1776074580.083,-4028.4101996910813
1776074580.087,-4025.571528145257
1776074580.091,-4021.8834903101315
1776074580.095,-4031.092409025718
1776074580.099,-4030.645374136612
1776074580.103,-4030.2877462253273
1776074580.1069999,-4027.3820194461373
1776074580.1109998,-4022.7328565994335
1776074580.115,-4030.2653944808717
1776074580.119,-4029.2819177248384
1776074580.123,-4022.285821710327
1776074580.1269999,-4008.360684914671
1776074580.131,-4016.876699552143
1776074580.135,-4032.6570311375895
1776074580.139,-4028.745475857911
1776074580.143,-4037.574414917757
1776074580.1469998,-4040.927176586053
1776074580.151,-4035.3392404722263
1776074580.155,-4035.1827782610394
1776074580.159,-4041.553025430802
1776074580.1629999,-4048.2138452784834
1776074580.1669998,-4040.256624252394
1776074580.171,-4043.475275453958
1776074580.175,-4043.743496387422
1776074580.179,-4037.909691084587
1776074580.183,-4045.9339673440422
1776074580.187,-4054.226464536961
1776074580.191,-4065.6929094425336
1776074580.1950002,-4074.5889037357456
1776074580.1990001,-4075.8853049141535
1776074580.203,-4065.0894123422404
1776074580.207,-4059.5908832062346
1776074580.2110002,-4064.642377453134
1776074580.2150002,-4080.9815026499637
1776074580.219,-4071.482011256458
1776074580.223,-4059.792048906332
1776074580.227,-4063.390679763637
1776074580.2310002,-4070.52088624488
1776074580.2350001,-4072.2419705679386
1776074580.239,-4068.3974705216256
1776074580.243,-4067.3692902766816
1776074580.247,-4079.2157148379943
1776074580.2510002,-4071.6384734676453
1776074580.255,-4070.453831011514
1776074580.259,-4073.42661302407
1776074580.263,-4072.6666537125893
1776074580.267,-4063.0777553412627
1776074580.271,-4070.6773484560667
1776074580.275,-4066.318758287282
1776074580.279,-4056.416935493581
1776074580.283,-4070.2973688003267
1776074580.287,-4068.3751187771704
1776074580.2910001,-4065.312929786793
1776074580.295,-4066.095240842729
1776074580.299,-4063.0777553412627
1776074580.303,-4064.1506390751174
1776074580.307,-4072.2643223123937
1776074580.311,-4067.2128280654943
1776074580.315,-4064.061232097296
1776074580.319,-4064.4859152419467
1776074580.323,-4062.049575096318
1776074580.327,-4058.9650343614862
1776074580.331,-4059.792048906332
1776074580.335,-4054.4052784926034
1776074580.339,-4072.2419705679386
1776074580.343,-4066.631682709656
1776074580.347,-4074.968883391486
1776074580.3509998,-4085.0495201408294
1776074580.355,-4075.930008403064
1776074580.359,-4079.059252626807
1776074580.363,-4074.9018281581198
1776074580.3669999,-4069.850333911221
1776074580.371,-4076.1088223587067
1776074580.375,-4073.448964768525
1776074580.379,-4077.8075549373098
1776074580.383,-4070.5655897337906
1776074580.3869998,-4072.6666537125893
1776074580.391,-4082.970807906486
1776074580.395,-4090.413938810103
1776074580.399,-4075.706490958511
1776074580.4029999,-4077.315816559293
1776074580.4069998,-4083.507249773413
1776074580.411,-4078.9474939045303
1776074580.415,-4078.254589826416
1776074580.419,-4072.510191501402
1776074580.423,-4078.2098863375054
1776074580.427,-4068.0845460992514
1776074580.431,-4066.0728890982737
1776074580.4350002,-4066.0728890982737
1776074580.4390001,-4071.9513978900195
1776074580.443,-4064.5306187308574
1776074580.447,-4067.99513912143
1776074580.4510002,-4076.4664502699916
1776074580.4550002,-4064.4635634974916
1776074580.459,-4064.016528608385
1776074580.463,-4075.1476973471285
1776074580.467,-4092.9173341890973
1776074580.4710002,-4077.025243881374
1776074580.4750001,-4077.584037492757
1776074580.479,-4068.7103949439997
1776074580.483,-4084.9601131630084
1776074580.487,-4082.926104417575
1776074580.4910002,-4083.641360240145
1776074580.4950001,-4074.0077583799075
1776074580.499,-4069.939740889042
1776074580.503,-4068.777450177366
1776074580.507,-4069.224485066472
1776074580.511,-4080.556819505313
1776074580.515,-4089.8104417098098
1776074580.519,-4090.5033457879244
1776074580.523,-4086.390624808148
1776074580.527,-4075.5723804917793
1776074580.5310001,-4078.969845648986
1776074580.535,-4076.6005607367233
1776074580.539,-4081.8532206837203
1776074580.543,-4088.6034475092233
1776074580.547,-4080.668578227589
1776074580.551,-4081.4732410279803
1776074580.555,-4078.925142160075
1776074580.559,-4084.2672090848937
1776074580.563,-4085.47420328548
1776074580.567,-4071.6831769565556
1776074580.571,-4075.0135868803964
1776074580.575,-4082.3002555728267
1776074580.579,-4083.261380584405
1776074580.583,-4077.651092726123
1776074580.587,-4088.5363922758575
1776074580.5909998,-4081.897924172631
1776074580.595,-4089.4304620540697
1776074580.599,-4085.2059823520167
1776074580.603,-4081.2720753278827
1776074580.6069999,-4086.1447556191392
1776074580.611,-4101.47805231548
1776074580.615,-4086.792956208343
1776074580.619,-4092.358540577715
1776074580.623,-4090.4362905545586
1776074580.6269999,-4081.897924172631
1776074580.631,-4081.7191102169886
1776074580.635,-4090.7492149769328
1776074580.639,-4086.6364939971563
1776074580.643,-4084.155450362617
1776074580.6469998,-4073.0242816238742
1776074580.651,-4078.254589826416
1776074580.655,-4073.717185701989
1776074580.659,-4069.3809472776593
1776074580.663,-4056.3051767713046
1776074580.667,-4057.355708760704
1776074580.671,-4061.1108018291957
1776074580.6750002,-4054.1817610480502
1776074580.6790001,-4049.130266801151
1776074580.683,-4061.379022762659
1776074580.687,-4071.1467350896282
1776074580.6910002,-4069.515057744391
1776074580.6950002,-4072.845467668232
1776074580.6990001,-4067.771621676877
1776074580.703,-4065.938778631542
1776074580.707,-4072.0184531233854
1776074580.7110002,-4079.0145491378967
1776074580.7150002,-4072.733708945955
1776074580.719,-4077.025243881374
1776074580.723,-4072.1749153345727
1776074580.727,-4080.556819505313
1776074580.7310002,-4086.502383530424
